Family,Domain,Seed domains,Full region domains,Rfam ID,Description,RNA type
RF00001,Mixed,"Bacteria (48.6%), Eukaryota (45.51%), Archaea (5.9%)","Eukaryota (87.59%), Bacteria (12.0%), Archaea (0.4%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00002,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.54%), Bacteria (0.46%)",5_8S_rRNA,5.8S ribosomal RNA,Gene; rRNA;
RF00003,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),U1,U1 spliceosomal RNA,Gene; snRNA; splicing;
RF00004,Eukaryota,"Eukaryota (99.04%), unclassified sequences (0.96%)","Eukaryota (99.98%), Viruses (0.01%), unclassified sequences (0.01%)",U2,U2 spliceosomal RNA,Gene; snRNA; splicing;
RF00005,Mixed,"Eukaryota (78.2%), Bacteria (17.3%), Archaea (3.46%), Viruses (1.05%)","Eukaryota (73.83%), Bacteria (25.02%), Archaea (0.95%), Viruses (0.2%)",tRNA,tRNA,Gene; tRNA;
RF00006,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Vault,Vault RNA,Gene;
RF00007,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),U12,U12 minor spliceosomal RNA,Gene; snRNA; splicing;
RF00008,Viroids/Eukaryota,"Viroids (91.46%), Viruses (8.54%)","Eukaryota (94.25%), Bacteria (3.11%), Viroids (2.36%), Viruses (0.28%)",Hammerhead_3,Hammerhead ribozyme (type III),Gene; ribozyme;
RF00009,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),RNaseP_nuc,Nuclear RNase P,Gene; ribozyme;
RF00010,Bacteria,"Bacteria (99.78%), Eukaryota (0.22%)","Bacteria (99.37%), Eukaryota (0.6%), Archaea (0.03%)",RNaseP_bact_a,Bacterial RNase P class A,Gene; ribozyme;
RF00011,Bacteria,"Bacteria (96.49%), unclassified sequences (2.63%), Eukaryota (0.88%)","Bacteria (98.73%), Eukaryota (0.89%), unclassified sequences (0.38%)",RNaseP_bact_b,Bacterial RNase P class B,Gene; ribozyme;
