Family,Domain,Seed domains,Full region domains,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Eukaryota:Fungi (12.78%), Archaea (5.90%)","Eukaryota (95.39%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Archaea (0.09%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00002,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (22.95%)","Eukaryota (99.74%), Eukaryota:Fungi (5.95%), Bacteria (0.25%), Viruses (0.01%)",5_8S_rRNA,5.8S ribosomal RNA,Gene; rRNA;
RF00003,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (1.00%)","Eukaryota (100.00%), Eukaryota:Fungi (0.59%)",U1,U1 spliceosomal RNA,Gene; snRNA; splicing;
RF00004,Eukaryota,"Eukaryota (99.04%), Eukaryota:Fungi (33.17%), unclassified sequences (0.96%)","Eukaryota (100.00%), Eukaryota:Fungi (5.50%)",U2,U2 spliceosomal RNA,Gene; snRNA; splicing;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Archaea (3.46%), Viruses (1.05%)","Eukaryota (90.40%), Bacteria (9.16%), Eukaryota:Fungi (3.48%), Archaea (0.25%), Viruses (0.19%)",tRNA,tRNA,Gene; tRNA;
RF00006,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.63%)",Vault,Vault RNA,Gene;
RF00007,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (1.04%)",U12,U12 minor spliceosomal RNA,Gene; snRNA; splicing;
RF00008,Mixed/Eukaryota,"Viroids (88.24%), Viruses (8.24%), Other (3.53%)","Eukaryota (99.73%), Bacteria (0.27%)",Hammerhead_3,Hammerhead ribozyme (type III),Gene; ribozyme;
RF00009,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (19.83%)","Eukaryota (99.97%), Eukaryota:Fungi (29.46%), Bacteria (0.03%)",RNaseP_nuc,Nuclear RNase P,Gene; ribozyme;
RF00010,Bacteria,"Bacteria (99.78%), Eukaryota (0.22%)","Bacteria (98.79%), Eukaryota (1.18%), Eukaryota:Fungi (0.08%), Viruses (0.02%), Other (0.01%)",RNaseP_bact_a,Bacterial RNase P class A,Gene; ribozyme;
