Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.56%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.21%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.25%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.45%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00025,Alveolata+Eukaryota,"Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)","Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)",Telomerase-cil,Ciliate telomerase RNA,Gene;
RF00030,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (59.09%), Eukaryota:Fungi (28.79%), Eukaryota:Viridiplantae (3.03%), Eukaryota:Alveolata (3.03%)","Eukaryota (100.00%), Eukaryota:Fungi (33.94%), Eukaryota:Metazoa (33.51%), Eukaryota:Viridiplantae (17.25%), Eukaryota:Alveolata (12.88%), Eukaryota:Stramenopiles (0.43%), Eukaryota:Amoebozoa (0.37%)",RNase_MRP,RNase MRP,Gene; ribozyme;
RF00309,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (39.13%), Eukaryota:Viridiplantae (39.13%), Eukaryota:Metazoa (21.74%)","Eukaryota (100.00%), Eukaryota:Metazoa (48.11%), Eukaryota:Viridiplantae (22.29%), Eukaryota:Fungi (22.18%), Eukaryota:Alveolata (5.51%), Eukaryota:Stramenopiles (0.56%)",snosnR60_Z15,Small nucleolar RNA snR60/Z15/Z230/Z193/J17,Gene; snRNA; snoRNA; CD-box;
RF00852,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (91.67%), Eukaryota:Alveolata (8.33%)",mir-231,mir-231 microRNA precursor family,Gene; miRNA;
RF01577,Alveolata+Eukaryota,"Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)","Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)",RNase_P,Plasmodium RNase_P,Gene; ribozyme;
RF01578,Alveolata+Eukaryota,"Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)","Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)",RUF1,Plasmodium RNA of unkown function RUF1,Gene; sRNA;
RF01579,Alveolata+Eukaryota,"Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)","Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)",RUF2,Plasmodium RNA of unknown function RUF2,Gene; sRNA;
RF01580,Alveolata+Eukaryota,"Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)","Eukaryota (100.00%), Eukaryota:Alveolata (100.00%)",RUF3,Plasmodium RNA of unkown function RU6-F3,Gene; sRNA;
