Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.56%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.21%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.25%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.45%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF01414,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (92.55%), Eukaryota:Metazoa (6.38%), Eukaryota:Viridiplantae (1.06%)",Dicty_Class_I_RNA,Class I RNA from Dictyostelium,Gene;
RF01559,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)",DdR1,Dictyostelium snoRNA DdR1,Gene; snRNA; snoRNA; CD-box;
RF01560,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)",DdR10,Dictyostelium snoRNA DdR10,Gene; snRNA; snoRNA; CD-box;
RF01561,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)",DdR11,Dictyostelium snoRNA DdR11,Gene; snRNA; snoRNA; CD-box;
RF01562,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)",DdR12,D. discoideum snoRNA DdR12,Gene; snRNA; snoRNA; CD-box;
RF01563,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)",DdR13,Dictyostelium snoRNA DdR13,Gene; snRNA; snoRNA; CD-box;
RF01564,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)",DdR14,D. discoideum snoRNA DdR14,Gene; snRNA; snoRNA; CD-box;
RF01565,Amoebozoa+Eukaryota,"Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)","Eukaryota (100.00%), Eukaryota:Amoebozoa (100.00%)",DdR15,Dictyostelium snoRNA DdR15,Gene; snRNA; snoRNA; CD-box;
