Family,Domain,Seed domains,Full region domains,Rfam ID,Description,RNA type
RF00058,Archaea,Archaea (100.0%),Archaea (100.0%),HgcF,HgcF RNA (Pab35),Gene; snRNA; snoRNA; HACA-box;
RF00060,Archaea,Archaea (100.0%),Archaea (100.0%),HgcE,HgcE RNA (Pab105),Gene; snRNA; snoRNA; HACA-box;
RF00062,Archaea,Archaea (100.0%),Archaea (100.0%),HgcC,HgcC family RNA,Gene;
RF00063,Archaea,Archaea (100.0%),Archaea (100.0%),SscA,SscA RNA,Gene;
RF00064,Archaea,Archaea (100.0%),Archaea (100.0%),HgcG,HgcG RNA (Pab40),Gene; snRNA; snoRNA; HACA-box
RF00065,Archaea,Archaea (100.0%),Archaea (100.0%),snoR9,Small nucleolar RNA snoR9,Gene; snRNA; snoRNA; CD-box;
RF00095,Archaea,Archaea (100.0%),"Archaea (96.35%), Eukaryota (3.65%)",snoPyro_CD,Pyrococcus C/D box small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF01119,Archaea,Archaea (100.0%),Archaea (100.0%),sR32,Small nucleolar RNA sR32,Gene; snRNA; snoRNA; CD-box;
RF01120,Archaea,Archaea (100.0%),"Archaea (91.67%), Eukaryota (8.33%)",sR33,Small nucleolar RNA sR33,Gene; snRNA; snoRNA; CD-box;
RF01121,Archaea,Archaea (100.0%),Archaea (100.0%),sR38,Small nucleolar RNA sR38,Gene; snRNA; snoRNA; CD-box;
RF01122,Archaea,Archaea (100.0%),Archaea (100.0%),sR39,Small nucleolar RNA sR39,Gene; snRNA; snoRNA; CD-box;
RF01123,Archaea,Archaea (100.0%),Archaea (100.0%),sR35,Small nucleolar RNA sR35,Gene; snRNA; snoRNA; CD-box;
RF01124,Archaea,Archaea (100.0%),Archaea (100.0%),sR36,Small nucleolar RNA sR36,Gene; snRNA; snoRNA; CD-box;
RF01125,Archaea,"Archaea (66.67%), unclassified sequences (33.33%)","Archaea (75.0%), unclassified sequences (25.0%)",sR4,Small nucleolar RNA sR4,Gene; snRNA; snoRNA; CD-box;
RF01126,Archaea,Archaea (100.0%),Archaea (100.0%),sR41,Small nucleolar RNA sR41,Gene; snRNA; snoRNA; CD-box;
RF01127,Archaea,Archaea (100.0%),Archaea (100.0%),sR42,Small nucleolar RNA sR42,Gene; snRNA; snoRNA; CD-box;
RF01128,Archaea,Archaea (100.0%),Archaea (100.0%),sR43,Small nucleolar RNA sR42,Gene; snRNA; snoRNA; CD-box;
RF01129,Archaea,Archaea (100.0%),Archaea (100.0%),sR44,Small nucleolar RNA sR44,Gene; snRNA; snoRNA; CD-box;
RF01130,Archaea,Archaea (100.0%),Archaea (100.0%),sR46,Small nucleolar RNA sR46,Gene; snRNA; snoRNA; CD-box;
RF01131,Archaea,Archaea (100.0%),"Archaea (92.0%), Eukaryota (4.0%), Bacteria (4.0%)",sR47,Small nucleolar RNA sR47,Gene; snRNA; snoRNA; CD-box;
RF01132,Archaea,Archaea (100.0%),Archaea (100.0%),sR48,Small nucleolar RNA sR48,Gene; snRNA; snoRNA; CD-box;
RF01133,Archaea,Archaea (100.0%),"Archaea (98.63%), Bacteria (1.37%)",sR3,Small nucleolar RNA sR3,Gene; snRNA; snoRNA; CD-box;
RF01135,Archaea,Archaea (100.0%),Archaea (100.0%),sR24,Small nucleolar RNA sR24,Gene; snRNA; snoRNA; CD-box;
RF01136,Archaea,Archaea (100.0%),Archaea (100.0%),sR28,Small nucleolar RNA sR28,Gene; snRNA; snoRNA; CD-box;
RF01137,Archaea,Archaea (100.0%),Archaea (100.0%),sR21,Small nucleolar RNA sR21,Gene; snRNA; snoRNA; CD-box;
RF01138,Archaea,Archaea (100.0%),Archaea (100.0%),sR23,Small nucleolar RNA sR23,Gene; snRNA; snoRNA; CD-box;
RF01139,Archaea,Archaea (100.0%),Archaea (100.0%),sR2,Small nucleolar RNA sR2,Gene; snRNA; snoRNA; CD-box;
RF01140,Archaea,Archaea (100.0%),Archaea (100.0%),sR20,Small nucleolar RNA sR20,Gene; snRNA; snoRNA; CD-box;
RF01141,Archaea,Archaea (100.0%),Archaea (100.0%),sR18,Small nucleolar RNA sR18,Gene; snRNA; snoRNA; CD-box;
RF01142,Archaea,Archaea (100.0%),Archaea (100.0%),sR19,Small nucleolar RNA sR19,Gene; snRNA; snoRNA; CD-box;
RF01143,Archaea,Archaea (100.0%),Archaea (100.0%),sR16,Small nucleolar RNA sR16,Gene; snRNA; snoRNA; CD-box;
RF01145,Archaea,Archaea (100.0%),Archaea (100.0%),sR14,Small nucleolar RNA sR14,Gene; snRNA; snoRNA; CD-box;
RF01146,Archaea,Archaea (100.0%),Archaea (100.0%),sR15,Small nucleolar RNA sR15,Gene; snRNA; snoRNA; CD-box;
RF01147,Archaea,Archaea (100.0%),Archaea (100.0%),sR12,Small nucleolar RNA sR12,Gene; snRNA; snoRNA; CD-box;
