Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.55%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.20%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.24%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.44%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00010,Bacteria,"Bacteria (99.78%), Bacteria:Proteobacteria (60.70%), Bacteria:Actinobacteria (11.14%), Bacteria:Firmicutes (8.73%), Bacteria:Cyanobacteria (8.52%), Eukaryota (0.22%), Bacteria:Bacteroidetes (0.22%)","Bacteria (98.79%), Bacteria:Proteobacteria (23.13%), Bacteria:Actinobacteria (13.56%), Bacteria:Firmicutes (7.17%), Bacteria:Bacteroidetes (5.92%), Bacteria:Cyanobacteria (1.27%), Eukaryota (1.18%), Eukaryota:Metazoa (0.70%), Eukaryota:Viridiplantae (0.16%), Eukaryota:Alveolata (0.16%), Eukaryota:Fungi (0.08%), Viruses (0.02%), Other (0.01%), Eukaryota:Stramenopiles (0.01%)",RNaseP_bact_a,Bacterial RNase P class A,Gene; ribozyme;
RF00023,Bacteria,"Bacteria (93.92%), Bacteria:Proteobacteria (44.03%), Bacteria:Firmicutes (20.75%), Bacteria:Actinobacteria (8.18%), unclassified sequences (3.77%), Bacteria:Cyanobacteria (2.94%), Eukaryota (2.10%), Bacteria:Bacteroidetes (1.26%), Eukaryota:Viridiplantae (1.05%), Eukaryota:Metazoa (0.42%), Viruses (0.21%), Eukaryota:Fungi (0.21%)","Bacteria (97.92%), Bacteria:Proteobacteria (15.21%), Bacteria:Actinobacteria (14.32%), Bacteria:Firmicutes (14.02%), Bacteria:Bacteroidetes (6.31%), Eukaryota (1.40%), Bacteria:Cyanobacteria (1.06%), Eukaryota:Metazoa (0.68%), Viruses (0.67%), Eukaryota:Fungi (0.27%), Eukaryota:Viridiplantae (0.21%), Eukaryota:Alveolata (0.13%), Other (0.01%)",tmRNA,transfer-messenger RNA,Gene;
RF00162,Bacteria,"Bacteria (97.59%), Bacteria:Firmicutes (71.77%), Bacteria:Actinobacteria (7.22%), Bacteria:Bacteroidetes (5.47%), Bacteria:Proteobacteria (3.28%), unclassified sequences (1.31%), Other (1.09%), Bacteria:Cyanobacteria (0.44%)","Bacteria (99.62%), Bacteria:Firmicutes (37.07%), Bacteria:Actinobacteria (9.85%), Bacteria:Bacteroidetes (7.43%), Bacteria:Proteobacteria (1.54%), Eukaryota (0.36%), Eukaryota:Metazoa (0.22%), Eukaryota:Fungi (0.05%), Bacteria:Cyanobacteria (0.03%), Eukaryota:Viridiplantae (0.03%), Eukaryota:Alveolata (0.03%), Other (0.02%)",SAM,SAM riboswitch aptamer (S box leader),Cis-reg; riboswitch;
RF00174,Bacteria,"Bacteria (99.54%), Bacteria:Proteobacteria (70.74%), Bacteria:Firmicutes (12.44%), Bacteria:Actinobacteria (7.60%), Bacteria:Bacteroidetes (6.68%), unclassified sequences (0.23%), Other (0.23%), Bacteria:Cyanobacteria (0.23%)","Bacteria (99.32%), Bacteria:Proteobacteria (20.10%), Bacteria:Actinobacteria (14.42%), Bacteria:Firmicutes (13.37%), Bacteria:Bacteroidetes (5.50%), Bacteria:Cyanobacteria (0.95%), Eukaryota (0.68%), Eukaryota:Metazoa (0.39%), Eukaryota:Viridiplantae (0.12%), Eukaryota:Alveolata (0.10%), Eukaryota:Fungi (0.04%)",Cobalamin,Cobalamin riboswitch aptamer,Cis-reg; riboswitch;
RF00242,Bacteria+Firmicutes/Mixed,"Bacteria (100.00%), Bacteria:Firmicutes (100.00%)","Bacteria (76.47%), Bacteria:Firmicutes (29.41%), Eukaryota (23.53%), Bacteria:Bacteroidetes (17.65%), Eukaryota:Fungi (11.76%), Eukaryota:Metazoa (11.76%), Bacteria:Proteobacteria (5.88%)",ctRNA_pT181,ctRNA,Gene; antisense;
RF01320,Mixed,"Archaea (50.00%), Archaea:Euryarchaeota (50.00%), Bacteria (30.00%), unclassified sequences (20.00%), Bacteria:Proteobacteria (10.00%), Bacteria:Bacteroidetes (10.00%)","Bacteria (69.00%), Archaea (30.64%), Archaea:Euryarchaeota (28.40%), Bacteria:Proteobacteria (15.94%), Bacteria:Firmicutes (9.36%), Bacteria:Bacteroidetes (9.22%), Archaea:Thaumarchaeota (2.24%), Eukaryota (0.37%), Eukaryota:Metazoa (0.27%), Eukaryota:Viridiplantae (0.09%)",CRISPR-DR7,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01361,Bacteria+Bacteroidetes,"Bacteria (100.00%), Bacteria:Bacteroidetes (100.00%)","Bacteria (100.00%), Bacteria:Bacteroidetes (100.00%)",CRISPR-DR48,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01362,Bacteria+Bacteroidetes/Bacteria,"Bacteria (100.00%), Bacteria:Bacteroidetes (100.00%)","Bacteria (99.26%), Bacteria:Bacteroidetes (49.75%), Eukaryota (0.74%), Eukaryota:Viridiplantae (0.49%), Eukaryota:Metazoa (0.25%)",CRISPR-DR49,CRISPR RNA direct repeat element,Gene; CRISPR;
