Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00165,Viruses+Coronaviridae/Mixed,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Eukaryota (82.14%), Eukaryota:Metazoa (67.86%), Viruses (14.29%), Viruses:Coronaviridae (14.29%), Eukaryota:Fungi (7.14%), Eukaryota:Viridiplantae (7.14%), Bacteria (3.57%)",Corona_pk3,Coronavirus 3' UTR pseudoknot,Cis-reg;
RF00182,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",Corona_package,Coronavirus packaging signal,Cis-reg;
RF00385,Viruses+Coronaviridae/Mixed,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Eukaryota (63.64%), Eukaryota:Metazoa (54.55%), Viruses (27.27%), Viruses:Coronaviridae (27.27%), Bacteria (9.09%), Eukaryota:Viridiplantae (9.09%)",IBV_D-RNA,Infectious bronchitis virus D-RNA,Cis-reg;
RF00507,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",Corona_FSE,Coronavirus frameshifting stimulation element,Cis-reg; frameshift_element;
RF01094,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",RF_site6,Polymerase ribosomal frameshift site,Cis-reg; frameshift_element;
RF03116,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",aCoV-5UTR,Alphacoronavirus 5'UTR,Cis-reg;
RF03117,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",bCoV-5UTR,Betacoronavirus 5'UTR,Cis-reg;
RF03118,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",gCoV-5UTR,Gammacoronavirus 5'UTR,Cis-reg;
RF03119,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",dCoV-5UTR,Deltacoronavirus 5'UTR,Cis-reg;
RF03120,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",Sarbecovirus-5UTR,Sarbecovirus 5'UTR,Cis-reg;
RF03121,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",aCoV-3UTR,Alphacoronavirus 3'UTR,Cis-reg;
RF03122,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",bCoV-3UTR,Betacoronavirus 3'UTR,Cis-reg;
RF03123,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",gCoV-3UTR,Gammacoronavirus 3'UTR,Cis-reg;
RF03124,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",dCoV-3UTR,Deltacoronavirus 3'UTR,Cis-reg;
RF03125,Viruses+Coronaviridae,"Viruses (100.00%), Viruses:Coronaviridae (100.00%)","Viruses (100.00%), Viruses:Coronaviridae (100.00%)",Sarbecovirus-3UTR,Sarbecovirus 3'UTR,Cis-reg;
