Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.55%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.20%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.24%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.44%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00373,Archaea,"Archaea (68.57%), Archaea:Euryarchaeota (51.43%), unclassified sequences (31.43%), Archaea:Crenarchaeota (15.71%)","Archaea (99.67%), Archaea:Euryarchaeota (72.13%), Archaea:Crenarchaeota (9.51%), Archaea:Thaumarchaeota (2.62%), Bacteria (0.33%), Bacteria:Firmicutes (0.33%)",RNaseP_arch,Archaeal RNase P,Gene; ribozyme;
RF01120,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (66.67%), Archaea:Crenarchaeota (33.33%)","Archaea (92.31%), Archaea:Crenarchaeota (69.23%), Eukaryota (7.69%), Archaea:Euryarchaeota (7.69%), Eukaryota:Fungi (7.69%)",sR33,Small nucleolar RNA sR33,Gene; snRNA; snoRNA; CD-box;
RF01125,Archaea+Crenarchaeota/Archaea,"Archaea (66.67%), Archaea:Crenarchaeota (66.67%), unclassified sequences (33.33%)","Archaea (100.00%), Archaea:Crenarchaeota (66.67%)",sR4,Small nucleolar RNA sR4,Gene; snRNA; snoRNA; CD-box;
RF01135,Archaea+Euryarchaeota/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Eukaryota (75.00%), Eukaryota:Metazoa (66.67%), Archaea (25.00%), Archaea:Euryarchaeota (16.67%), Archaea:Crenarchaeota (8.33%), Eukaryota:Viridiplantae (8.33%)",sR24,Small nucleolar RNA sR24,Gene; snRNA; snoRNA; CD-box;
RF01136,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (83.33%), Archaea:Crenarchaeota (16.67%)","Archaea (100.00%), Archaea:Euryarchaeota (83.33%), Archaea:Crenarchaeota (16.67%)",sR28,Small nucleolar RNA sR28,Gene; snRNA; snoRNA; CD-box;
RF01137,Archaea+Crenarchaeota,"Archaea (100.00%), Archaea:Crenarchaeota (100.00%)","Archaea (100.00%), Archaea:Crenarchaeota (100.00%)",sR21,Small nucleolar RNA sR21,Gene; snRNA; snoRNA; CD-box;
RF01139,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (50.00%), Archaea:Crenarchaeota (50.00%)","Archaea (94.44%), Archaea:Crenarchaeota (61.11%), Archaea:Euryarchaeota (27.78%), Eukaryota (5.56%), Eukaryota:Alveolata (5.56%)",sR2,Small nucleolar RNA sR2,Gene; snRNA; snoRNA; CD-box;
RF01140,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (50.00%), Archaea:Crenarchaeota (50.00%)","Archaea (100.00%), Archaea:Crenarchaeota (64.29%), Archaea:Euryarchaeota (7.14%)",sR20,Small nucleolar RNA sR20,Gene; snRNA; snoRNA; CD-box;
