Family,Domain,Seed domains,Full region domains,Rfam ID,Description,RNA type
RF00001,Mixed,"Bacteria (48.6%), Eukaryota (45.51%), Archaea (5.9%)","Eukaryota (87.59%), Bacteria (12.0%), Archaea (0.4%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00002,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.55%), Bacteria (0.45%)",5_8S_rRNA,5.8S ribosomal RNA,Gene; rRNA;
RF00003,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),U1,U1 spliceosomal RNA,Gene; snRNA; splicing;
RF00004,Eukaryota,"Eukaryota (99.04%), unclassified sequences (0.96%)","Eukaryota (99.98%), Viruses (0.01%), unclassified sequences (0.01%)",U2,U2 spliceosomal RNA,Gene; snRNA; splicing;
RF00005,Mixed,"Eukaryota (78.2%), Bacteria (17.3%), Archaea (3.46%), Viruses (1.05%)","Eukaryota (73.83%), Bacteria (25.02%), Archaea (0.95%), Viruses (0.2%)",tRNA,tRNA,Gene; tRNA;
RF00006,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Vault,Vault RNA,Gene;
RF00007,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),U12,U12 minor spliceosomal RNA,Gene; snRNA; splicing;
RF00008,Mixed/Eukaryota,"Viroids (88.24%), Viruses (8.24%), Other (3.53%)","Eukaryota (93.78%), Bacteria (5.81%), Other (0.41%)",Hammerhead_3,Hammerhead ribozyme (type III),Gene; ribozyme;
RF00009,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),RNaseP_nuc,Nuclear RNase P,Gene; ribozyme;
RF00012,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),U3,Small nucleolar RNA U3,Gene; snRNA; snoRNA; CD-box;
RF00015,Eukaryota,"Eukaryota (98.87%), Other (0.56%), unclassified sequences (0.56%)","Eukaryota (99.99%), Other (0.01%)",U4,U4 spliceosomal RNA,Gene; snRNA; splicing;
RF00016,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD14,Small nucleolar RNA SNORD14,Gene; snRNA; snoRNA; CD-box;
RF00017,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Metazoa_SRP,Metazoan signal recognition particle RNA,Gene;
RF00019,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Y_RNA,Y RNA,Gene;
RF00020,Eukaryota,"Eukaryota (99.44%), unclassified sequences (0.56%)","Eukaryota (99.99%), unclassified sequences (0.01%)",U5,U5 spliceosomal RNA,Gene; snRNA; splicing;
RF00024,Eukaryota,"Eukaryota (97.3%), Viruses (2.7%)","Eukaryota (95.61%), Viruses (4.39%)",Telomerase-vert,Vertebrate telomerase RNA,Gene;
RF00025,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Telomerase-cil,Ciliate telomerase RNA,Gene;
RF00026,Eukaryota,"Eukaryota (99.47%), unclassified sequences (0.53%)",Eukaryota (100.0%),U6,U6 spliceosomal RNA,Gene; snRNA; splicing;
RF00027,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),let-7,let-7 microRNA precursor,Gene; miRNA;
RF00028,Eukaryota/Mixed,"Eukaryota (91.67%), Viruses (8.33%)","Eukaryota (50.4%), Bacteria (44.73%), Viruses (4.63%), Archaea (0.23%)",Intron_gpI,Group I catalytic intron,Intron;
RF00030,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),RNase_MRP,RNase MRP,Gene; ribozyme;
RF00031,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SECIS_1,Selenocysteine insertion sequence 1,Cis-reg;
RF00032,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.04%), Bacteria (0.95%), Viruses (0.01%)",Histone3,Histone 3' UTR stem-loop,Cis-reg;
RF00037,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.95%), Other (0.05%)",IRE_I,Iron response element I,Cis-reg;
RF00045,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA73,Small nucleolar RNA SNORA73 family,Gene; snRNA; snoRNA; HACA-box;
RF00046,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoR30,Small nucleolar RNA R30/Z108,Gene; snRNA; snoRNA; CD-box;
RF00047,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-2,mir-2 microRNA precursor,Gene; miRNA;
RF00049,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.89%), Bacteria (0.11%)",SNORD36,Small nucleolar RNA SNORD36,Gene; snRNA; snoRNA; CD-box;
