Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.55%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.20%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.24%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.44%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00010,Bacteria,"Bacteria (99.78%), Bacteria:Proteobacteria (60.70%), Bacteria:Actinobacteria (11.14%), Bacteria:Firmicutes (8.73%), Bacteria:Cyanobacteria (8.52%), Eukaryota (0.22%), Bacteria:Bacteroidetes (0.22%)","Bacteria (98.79%), Bacteria:Proteobacteria (23.13%), Bacteria:Actinobacteria (13.56%), Bacteria:Firmicutes (7.17%), Bacteria:Bacteroidetes (5.92%), Bacteria:Cyanobacteria (1.27%), Eukaryota (1.18%), Eukaryota:Metazoa (0.70%), Eukaryota:Viridiplantae (0.16%), Eukaryota:Alveolata (0.16%), Eukaryota:Fungi (0.08%), Viruses (0.02%), Other (0.01%), Eukaryota:Stramenopiles (0.01%)",RNaseP_bact_a,Bacterial RNase P class A,Gene; ribozyme;
RF00011,Bacteria,"Bacteria (96.49%), Bacteria:Firmicutes (84.21%), unclassified sequences (2.63%), Eukaryota (0.88%)","Bacteria (97.14%), Bacteria:Firmicutes (55.57%), Eukaryota (2.86%), Eukaryota:Fungi (1.84%), Eukaryota:Metazoa (0.92%), Bacteria:Bacteroidetes (0.10%)",RNaseP_bact_b,Bacterial RNase P class B,Gene; ribozyme;
RF00013,Bacteria,"Bacteria (96.67%), Bacteria:Proteobacteria (55.33%), Bacteria:Firmicutes (25.33%), Bacteria:Cyanobacteria (16.00%), Eukaryota (2.00%), unclassified sequences (1.33%), Eukaryota:Viridiplantae (1.33%), Eukaryota:Metazoa (0.67%)","Bacteria (98.99%), Bacteria:Proteobacteria (29.42%), Bacteria:Firmicutes (23.93%), Bacteria:Cyanobacteria (2.17%), Eukaryota (0.99%), Eukaryota:Metazoa (0.55%), Eukaryota:Viridiplantae (0.24%), Eukaryota:Fungi (0.14%), Bacteria:Bacteroidetes (0.10%), Bacteria:Actinobacteria (0.06%), Eukaryota:Alveolata (0.06%), Viruses (0.02%)",6S,6S / SsrS RNA,Gene;
RF00023,Bacteria,"Bacteria (93.92%), Bacteria:Proteobacteria (44.03%), Bacteria:Firmicutes (20.75%), Bacteria:Actinobacteria (8.18%), unclassified sequences (3.77%), Bacteria:Cyanobacteria (2.94%), Eukaryota (2.10%), Bacteria:Bacteroidetes (1.26%), Eukaryota:Viridiplantae (1.05%), Eukaryota:Metazoa (0.42%), Viruses (0.21%), Eukaryota:Fungi (0.21%)","Bacteria (97.92%), Bacteria:Proteobacteria (15.21%), Bacteria:Actinobacteria (14.32%), Bacteria:Firmicutes (14.02%), Bacteria:Bacteroidetes (6.31%), Eukaryota (1.40%), Bacteria:Cyanobacteria (1.06%), Eukaryota:Metazoa (0.68%), Viruses (0.67%), Eukaryota:Fungi (0.27%), Eukaryota:Viridiplantae (0.21%), Eukaryota:Alveolata (0.13%), Other (0.01%)",tmRNA,transfer-messenger RNA,Gene;
RF00038,Bacteria+Firmicutes,"Bacteria (100.00%), Bacteria:Firmicutes (100.00%)","Bacteria (100.00%), Bacteria:Firmicutes (100.00%)",PrfA,PrfA thermoregulator UTR,Cis-reg; thermoregulator;
RF00050,Bacteria,"Bacteria (97.26%), Bacteria:Firmicutes (53.42%), Bacteria:Proteobacteria (35.62%), unclassified sequences (2.05%), Other (0.68%), Bacteria:Actinobacteria (0.68%)","Bacteria (99.24%), Bacteria:Firmicutes (27.15%), Bacteria:Actinobacteria (15.59%), Bacteria:Proteobacteria (13.58%), Eukaryota (0.64%), Bacteria:Bacteroidetes (0.52%), Eukaryota:Metazoa (0.32%), Eukaryota:Viridiplantae (0.14%), Archaea (0.11%), Archaea:Euryarchaeota (0.11%), Eukaryota:Fungi (0.11%), Eukaryota:Alveolata (0.06%), Viruses (0.02%)",FMN,FMN riboswitch aptamer (RFN element),Cis-reg; riboswitch;
RF00059,Mixed/Bacteria,"Bacteria (85.22%), Bacteria:Firmicutes (40.00%), Bacteria:Proteobacteria (29.57%), Bacteria:Actinobacteria (10.43%), Eukaryota (9.57%), Eukaryota:Viridiplantae (6.09%), Eukaryota:Fungi (3.48%), Other (2.61%), Bacteria:Cyanobacteria (2.61%), Archaea (1.74%), Archaea:Euryarchaeota (1.74%), unclassified sequences (0.87%)","Bacteria (94.78%), Bacteria:Proteobacteria (18.83%), Bacteria:Firmicutes (18.41%), Bacteria:Actinobacteria (12.60%), Eukaryota (5.06%), Bacteria:Bacteroidetes (3.34%), Eukaryota:Viridiplantae (2.32%), Eukaryota:Fungi (1.47%), Bacteria:Cyanobacteria (0.69%), Eukaryota:Metazoa (0.48%), Eukaryota:Stramenopiles (0.24%), Eukaryota:Alveolata (0.20%), Archaea (0.14%), Archaea:Euryarchaeota (0.11%), Viruses (0.01%), Other (0.01%), Archaea:Thaumarchaeota (0.01%)",TPP,TPP riboswitch aptamer (THI element),Cis-reg; riboswitch;
RF00080,Bacteria,"Bacteria (89.66%), Bacteria:Proteobacteria (72.41%), Bacteria:Firmicutes (17.24%), unclassified sequences (10.34%)","Bacteria (97.72%), Bacteria:Proteobacteria (50.75%), Bacteria:Firmicutes (5.97%), Eukaryota (2.19%), Eukaryota:Metazoa (1.23%), Eukaryota:Viridiplantae (0.70%), Eukaryota:Fungi (0.26%), Viruses (0.09%)",Manganese,Manganese Mn2+ riboswitch aptamer (yybP-ykoY),Cis-reg; riboswitch;
