Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.56%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.21%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.25%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.45%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00061,Flaviviridae+Viruses,"Viruses (100.00%), Viruses:Flaviviridae (100.00%)","Viruses (100.00%), Viruses:Flaviviridae (100.00%)",IRES_HCV,Hepatitis C virus internal ribosome entry site,Cis-reg; IRES;
RF00185,Flaviviridae+Viruses/Mixed,"Viruses (100.00%), Viruses:Flaviviridae (100.00%)","Eukaryota (50.00%), Viruses (50.00%), Viruses:Flaviviridae (50.00%), Eukaryota:Metazoa (33.33%), Eukaryota:Viridiplantae (16.67%)",Flavi_CRE,Flavivirus 3' UTR cis-acting replication element (CRE),Cis-reg;
RF00209,Flaviviridae+Viruses/Viruses,"Viruses (64.29%), Viruses:Flaviviridae (61.90%), unclassified sequences (35.71%)","Viruses (100.00%), Viruses:Flaviviridae (50.00%)",IRES_Pesti,Pestivirus internal ribosome entry site (IRES) including 5'UTR SLI,Cis-reg; IRES;
RF00260,Flaviviridae+Viruses,"Viruses (100.00%), Viruses:Flaviviridae (100.00%)","Viruses (100.00%), Viruses:Flaviviridae (100.00%)",HepC_CRE,Hepatitis C virus (HCV) cis-acting replication element (CRE),Cis-reg;
RF00468,Flaviviridae+Viruses,"Viruses (100.00%), Viruses:Flaviviridae (100.00%)","Viruses (100.00%), Viruses:Flaviviridae (100.00%)",HCV_SLVII,Hepatitis C virus stem-loop VII,Cis-reg;
RF00481,Flaviviridae+Viruses,"Viruses (100.00%), Viruses:Flaviviridae (100.00%)","Viruses (100.00%), Viruses:Flaviviridae (100.00%)",HCV_X3,Hepatitis C virus 3' X element,Cis-reg;
RF00525,Flaviviridae+Viruses/Mixed,"Viruses (100.00%), Viruses:Flaviviridae (100.00%)","Eukaryota (76.92%), Eukaryota:Alveolata (69.23%), Viruses (23.08%), Viruses:Flaviviridae (23.08%), Eukaryota:Metazoa (7.69%)",Flavivirus_DB,Flavivirus DB element,Cis-reg;
RF00617,Flaviviridae+Viruses/No Data,"Viruses (100.00%), Viruses:Flaviviridae (100.00%)",No Data,cHP,Flavivirus capsid hairpin cHP,Cis-reg;
