Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.55%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.20%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00002,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (22.95%), Eukaryota:Alveolata (18.03%), Eukaryota:Metazoa (14.75%), Eukaryota:Viridiplantae (13.11%), Eukaryota:Amoebozoa (4.92%)","Eukaryota (99.74%), Eukaryota:Metazoa (47.35%), Eukaryota:Viridiplantae (41.46%), Eukaryota:Fungi (5.95%), Eukaryota:Alveolata (2.38%), Eukaryota:Stramenopiles (0.39%), Bacteria (0.25%), Eukaryota:Amoebozoa (0.04%), Bacteria:Firmicutes (0.03%), Bacteria:Proteobacteria (0.02%), Viruses (0.01%), Bacteria:Actinobacteria (0.01%), Bacteria:Bacteroidetes (0.01%), Bacteria:Cyanobacteria (0.01%)",5_8S_rRNA,5.8S ribosomal RNA,Gene; rRNA;
RF00004,Eukaryota,"Eukaryota (99.04%), Eukaryota:Metazoa (36.06%), Eukaryota:Fungi (33.17%), Eukaryota:Viridiplantae (9.62%), Eukaryota:Alveolata (9.62%), Eukaryota:Amoebozoa (2.40%), unclassified sequences (0.96%)","Eukaryota (100.00%), Eukaryota:Metazoa (69.52%), Eukaryota:Viridiplantae (23.24%), Eukaryota:Fungi (5.50%), Eukaryota:Alveolata (0.72%), Eukaryota:Stramenopiles (0.16%), Eukaryota:Amoebozoa (0.10%)",U2,U2 spliceosomal RNA,Gene; snRNA; splicing;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.24%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.44%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00009,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (73.28%), Eukaryota:Fungi (19.83%), Eukaryota:Amoebozoa (5.17%)","Eukaryota (99.97%), Eukaryota:Metazoa (68.49%), Eukaryota:Fungi (29.46%), Eukaryota:Alveolata (0.91%), Eukaryota:Amoebozoa (0.26%), Eukaryota:Viridiplantae (0.10%), Bacteria (0.03%), Bacteria:Proteobacteria (0.03%)",RNaseP_nuc,Nuclear RNase P,Gene; ribozyme;
RF00015,Eukaryota,"Eukaryota (98.87%), Eukaryota:Fungi (39.55%), Eukaryota:Metazoa (38.42%), Eukaryota:Alveolata (10.17%), Eukaryota:Viridiplantae (7.34%), Eukaryota:Amoebozoa (1.69%), unclassified sequences (0.56%), Other (0.56%)","Eukaryota (100.00%), Eukaryota:Metazoa (82.70%), Eukaryota:Viridiplantae (10.30%), Eukaryota:Fungi (5.61%), Eukaryota:Alveolata (0.97%), Eukaryota:Stramenopiles (0.09%), Eukaryota:Amoebozoa (0.06%)",U4,U4 spliceosomal RNA,Gene; snRNA; splicing;
RF00020,Eukaryota,"Eukaryota (99.44%), Eukaryota:Metazoa (38.89%), Eukaryota:Fungi (35.56%), Eukaryota:Alveolata (10.00%), Eukaryota:Viridiplantae (8.89%), Eukaryota:Amoebozoa (3.33%), unclassified sequences (0.56%)","Eukaryota (100.00%), Eukaryota:Metazoa (67.37%), Eukaryota:Viridiplantae (25.40%), Eukaryota:Fungi (5.38%), Eukaryota:Alveolata (1.16%), Eukaryota:Stramenopiles (0.12%), Eukaryota:Amoebozoa (0.08%)",U5,U5 spliceosomal RNA,Gene; snRNA; splicing;
RF00028,Eukaryota/Mixed,"Eukaryota (91.67%), Eukaryota:Viridiplantae (66.67%), Eukaryota:Alveolata (16.67%), Viruses (8.33%), Eukaryota:Fungi (8.33%)","Eukaryota (79.78%), Eukaryota:Viridiplantae (37.61%), Eukaryota:Fungi (36.13%), Bacteria (14.60%), Viruses (5.55%), Bacteria:Firmicutes (4.59%), Bacteria:Cyanobacteria (1.95%), Eukaryota:Metazoa (1.64%), Bacteria:Proteobacteria (1.20%), Bacteria:Bacteroidetes (0.23%), Bacteria:Actinobacteria (0.12%), Archaea (0.07%), Archaea:Euryarchaeota (0.04%), Eukaryota:Amoebozoa (0.02%), Eukaryota:Alveolata (0.02%)",Intron_gpI,Group I catalytic intron,Intron;
RF00030,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (59.09%), Eukaryota:Fungi (28.79%), Eukaryota:Viridiplantae (3.03%), Eukaryota:Alveolata (3.03%)","Eukaryota (100.00%), Eukaryota:Fungi (33.94%), Eukaryota:Metazoa (33.51%), Eukaryota:Viridiplantae (17.25%), Eukaryota:Alveolata (12.88%), Eukaryota:Stramenopiles (0.43%), Eukaryota:Amoebozoa (0.37%)",RNase_MRP,RNase MRP,Gene; ribozyme;
RF00069,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (71.43%), Eukaryota:Fungi (14.29%), Eukaryota:Viridiplantae (14.29%)","Eukaryota (99.96%), Eukaryota:Metazoa (59.06%), Eukaryota:Viridiplantae (31.38%), Eukaryota:Fungi (5.84%), Eukaryota:Stramenopiles (0.84%), Eukaryota:Alveolata (0.81%), Eukaryota:Amoebozoa (0.14%), Archaea (0.04%), Archaea:Euryarchaeota (0.04%)",SNORD24,Small nucleolar RNA SNORD24,Gene; snRNA; snoRNA; CD-box;
RF00086,Eukaryota/Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (87.50%), Eukaryota:Fungi (12.50%)","Eukaryota (100.00%), Eukaryota:Metazoa (94.52%), Eukaryota:Fungi (5.02%), Eukaryota:Alveolata (0.46%)",SNORD27,Small nucleolar RNA SNORD27,Gene; snRNA; snoRNA; CD-box;
RF00213,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (57.89%), Eukaryota:Fungi (21.05%), Eukaryota:Viridiplantae (21.05%)","Eukaryota (100.00%), Eukaryota:Metazoa (44.65%), Eukaryota:Viridiplantae (34.64%), Eukaryota:Fungi (20.58%), Eukaryota:Alveolata (0.04%)",snoR38,Small nucleolar RNA R38,Gene; snRNA; snoRNA; CD-box;
RF00227,Eukaryota+Metazoa/Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (88.89%), Eukaryota:Fungi (5.56%), Eukaryota:Viridiplantae (5.56%)",FIE3,FIE3 (ftz instability element 3') element,Cis-reg;
RF00309,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (39.13%), Eukaryota:Viridiplantae (39.13%), Eukaryota:Metazoa (21.74%)","Eukaryota (100.00%), Eukaryota:Metazoa (48.11%), Eukaryota:Viridiplantae (22.29%), Eukaryota:Fungi (22.18%), Eukaryota:Alveolata (5.51%), Eukaryota:Stramenopiles (0.56%)",snosnR60_Z15,Small nucleolar RNA snR60/Z15/Z230/Z193/J17,Gene; snRNA; snoRNA; CD-box;
RF00335,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (99.83%), Eukaryota:Viridiplantae (0.17%)",snoZ13_snr52,Small nucleolar RNA Z13/snr52,Gene; snRNA; snoRNA; CD-box;
RF00338,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (100.00%)",snoR53,Small nucleolar RNA snR53,Gene; snRNA; snoRNA; CD-box;
RF00471,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (100.00%)",snosnR48,Small nucleolar RNA snR48,Gene; snRNA; snoRNA; CD-box;
RF00472,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (100.00%)",snosnR55,Small nucleolar RNA snR55/Z10,Gene; snRNA; snoRNA; CD-box;
RF00473,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (100.00%)",snosnR54,Small nucleolar RNA snR54,Gene; snRNA; snoRNA; CD-box;
RF00474,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (100.00%)",snosnR57,Small nucleolar RNA snR57,Gene; snRNA; snoRNA; CD-box;
RF00475,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (100.00%)",snosnR69,Small nucleolar RNA snR69,Gene; snRNA; snoRNA; CD-box;
RF00476,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (76.79%), Eukaryota:Metazoa (21.43%), Eukaryota:Alveolata (1.79%)","Eukaryota (100.00%), Eukaryota:Fungi (82.81%), Eukaryota:Metazoa (13.98%), Eukaryota:Alveolata (2.73%), Eukaryota:Amoebozoa (0.23%), Eukaryota:Viridiplantae (0.16%)",snosnR61,Small nucleolar RNA snR61/Z1/Z11,Gene; snRNA; snoRNA; CD-box;
RF00477,Eukaryota+Fungi,"Eukaryota (100.00%), Eukaryota:Fungi (100.00%)","Eukaryota (100.00%), Eukaryota:Fungi (100.00%)",snosnR66,Small nucleolar RNA snR66,Gene; snRNA; snoRNA; CD-box;
