Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.56%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.21%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.25%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.45%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00036,Retroviridae+Viruses,"Viruses (100.00%), Viruses:Retroviridae (100.00%)","Viruses (91.67%), Viruses:Retroviridae (91.67%), Bacteria (5.56%), Eukaryota (2.78%), Bacteria:Actinobacteria (2.78%), Eukaryota:Metazoa (2.78%)",RRE,HIV Rev response element,Cis-reg;
RF00175,Retroviridae+Viruses/Mixed,"Viruses (100.00%), Viruses:Retroviridae (100.00%)","Viruses (87.50%), Viruses:Retroviridae (87.50%), Eukaryota (9.38%), Eukaryota:Metazoa (9.38%), Bacteria (3.12%), Bacteria:Actinobacteria (3.12%)",HIV-1_DIS,Human immunodeficiency virus type 1 dimerisation initiation site,Cis-reg;
RF00192,Retroviridae+Viruses,"Viruses (100.00%), Viruses:Retroviridae (100.00%)","Viruses (100.00%), Viruses:Retroviridae (100.00%)",BLV_package,Bovine leukaemia virus RNA packaging signal,Cis-reg;
RF00214,Retroviridae+Viruses/Eukaryota+Metazoa,"Viruses (100.00%), Viruses:Retroviridae (100.00%)","Eukaryota (99.06%), Eukaryota:Metazoa (99.06%), Viruses (0.94%), Viruses:Retroviridae (0.94%)",Retro_dr1,Retrovirus direct repeat 1 (dr1),Cis-reg;
RF00250,Retroviridae+Viruses,"Viruses (100.00%), Viruses:Retroviridae (100.00%)","Viruses (96.08%), Viruses:Retroviridae (96.08%), Bacteria (3.92%)",mir-TAR,Trans-activation response element (TAR),Gene; miRNA;
RF00374,Retroviridae+Viruses/Eukaryota+Metazoa,"Viruses (100.00%), Viruses:Retroviridae (100.00%)","Eukaryota (97.56%), Eukaryota:Metazoa (97.56%), Viruses (2.44%), Viruses:Retroviridae (2.44%)",Gammaretro_CES,Gammaretrovirus core encapsidation signal,Cis-reg;
RF00375,Retroviridae+Viruses,"Viruses (99.24%), Viruses:Retroviridae (99.24%), Eukaryota (0.76%), Eukaryota:Metazoa (0.76%)","Viruses (95.83%), Viruses:Retroviridae (95.83%), Bacteria (4.17%), Bacteria:Actinobacteria (4.17%)",HIV_PBS,HIV primer binding site (PBS),Cis-reg;
RF00376,Retroviridae+Viruses,"Viruses (100.00%), Viruses:Retroviridae (100.00%)","Viruses (91.11%), Viruses:Retroviridae (91.11%), Bacteria (6.67%), Eukaryota (2.22%), Bacteria:Actinobacteria (2.22%), Eukaryota:Metazoa (2.22%)",HIV_GSL3,HIV gag stem loop 3 (GSL3),Cis-reg;
