Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00041,Viruses+Picornaviridae/No Data,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)",No Data,Entero_OriR,Enteroviral 3' UTR element,Cis-reg;
RF00048,Viruses+Picornaviridae/Mixed,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Eukaryota (66.67%), Eukaryota:Metazoa (66.67%), Viruses (33.33%), Viruses:Picornaviridae (33.33%)",Entero_CRE,Enterovirus cis-acting replication element,Cis-reg;
RF00164,Viruses/Mixed,"Viruses (97.44%), Viruses:Coronaviridae (41.03%), Other (2.56%), Viruses:Picornaviridae (2.56%)","Eukaryota (82.61%), Eukaryota:Metazoa (82.61%), Viruses (17.39%), Viruses:Picornaviridae (8.70%)",s2m,Coronavirus 3' stem-loop II-like motif (s2m),Cis-reg;
RF00210,Viruses+Picornaviridae,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (92.31%), Viruses:Picornaviridae (92.31%), Eukaryota (7.69%), Eukaryota:Metazoa (7.69%)",IRES_Picorna_2,Aphthovirus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00220,Viruses+Picornaviridae/No Data,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)",No Data,Rhino_CRE,Human rhinovirus internal cis-acting regulatory element (CRE),Cis-reg;
RF00228,Viruses+Picornaviridae,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (100.00%), Viruses:Picornaviridae (100.00%)",IRES_HepA,Hepatitis A virus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00229,Viruses+Picornaviridae/Mixed,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (60.00%), Viruses:Picornaviridae (60.00%), Eukaryota (40.00%), Eukaryota:Metazoa (40.00%)",IRES_Picorna,Picornavirus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00386,Viruses+Picornaviridae,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (100.00%), Viruses:Picornaviridae (100.00%)",Entero_5_CRE,Enterovirus 5' cloverleaf cis-acting replication element,Cis-reg;
RF00453,Viruses+Picornaviridae,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (100.00%), Viruses:Picornaviridae (100.00%)",Cardiovirus_CRE,Cardiovirus cis-acting replication element (CRE),Cis-reg;
RF00499,Viruses+Picornaviridae/Mixed,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Eukaryota (50.00%), Viruses (50.00%), Eukaryota:Metazoa (50.00%), Viruses:Picornaviridae (50.00%)",Parecho_CRE,Human parechovirus 1 (HPeV1) cis regulatory element (CRE),Cis-reg;
RF01096,Viruses+Picornaviridae,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (100.00%), Viruses:Picornaviridae (100.00%)",PK-HAV,HepA virus 3'-terminal pseudoknot,Cis-reg;
RF02533,Viruses+Picornaviridae,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (100.00%), Viruses:Picornaviridae (100.00%)",HAV_CRE,Hepatitis A virus (HAV) cis-acting replication element (CRE),Cis-reg;
RF02536,Viruses+Picornaviridae,"Viruses (100.00%), Viruses:Picornaviridae (100.00%)","Viruses (100.00%), Viruses:Picornaviridae (100.00%)",AEV_CRE,Avian encephalitis virus (AEV) cis-acting replication element (CRE),Cis-reg;
