Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.55%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.20%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00002,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (22.95%), Eukaryota:Alveolata (18.03%), Eukaryota:Metazoa (14.75%), Eukaryota:Viridiplantae (13.11%), Eukaryota:Amoebozoa (4.92%)","Eukaryota (99.74%), Eukaryota:Metazoa (47.35%), Eukaryota:Viridiplantae (41.46%), Eukaryota:Fungi (5.95%), Eukaryota:Alveolata (2.38%), Eukaryota:Stramenopiles (0.39%), Bacteria (0.25%), Eukaryota:Amoebozoa (0.04%), Bacteria:Firmicutes (0.03%), Bacteria:Proteobacteria (0.02%), Viruses (0.01%), Bacteria:Actinobacteria (0.01%), Bacteria:Bacteroidetes (0.01%), Bacteria:Cyanobacteria (0.01%)",5_8S_rRNA,5.8S ribosomal RNA,Gene; rRNA;
RF00003,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (67.00%), Eukaryota:Viridiplantae (26.00%), Eukaryota:Alveolata (4.00%), Eukaryota:Amoebozoa (2.00%), Eukaryota:Fungi (1.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (77.92%), Eukaryota:Viridiplantae (20.53%), Eukaryota:Fungi (0.59%), Eukaryota:Alveolata (0.56%), Eukaryota:Amoebozoa (0.05%), Eukaryota:Stramenopiles (0.05%)",U1,U1 spliceosomal RNA,Gene; snRNA; splicing;
RF00004,Eukaryota,"Eukaryota (99.04%), Eukaryota:Metazoa (36.06%), Eukaryota:Fungi (33.17%), Eukaryota:Viridiplantae (9.62%), Eukaryota:Alveolata (9.62%), Eukaryota:Amoebozoa (2.40%), unclassified sequences (0.96%)","Eukaryota (100.00%), Eukaryota:Metazoa (69.52%), Eukaryota:Viridiplantae (23.24%), Eukaryota:Fungi (5.50%), Eukaryota:Alveolata (0.72%), Eukaryota:Stramenopiles (0.16%), Eukaryota:Amoebozoa (0.10%)",U2,U2 spliceosomal RNA,Gene; snRNA; splicing;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.24%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.44%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00006,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.30%), Eukaryota:Fungi (0.63%), Eukaryota:Amoebozoa (0.03%)",Vault,Vault RNA,Gene;
RF00007,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (82.26%), Eukaryota:Viridiplantae (11.29%), Eukaryota:Amoebozoa (1.61%)","Eukaryota (100.00%), Eukaryota:Metazoa (79.30%), Eukaryota:Viridiplantae (17.85%), Eukaryota:Fungi (1.04%), Eukaryota:Stramenopiles (0.43%), Eukaryota:Amoebozoa (0.09%)",U12,U12 minor spliceosomal RNA,Gene; snRNA; splicing;
RF00009,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (73.28%), Eukaryota:Fungi (19.83%), Eukaryota:Amoebozoa (5.17%)","Eukaryota (99.97%), Eukaryota:Metazoa (68.49%), Eukaryota:Fungi (29.46%), Eukaryota:Alveolata (0.91%), Eukaryota:Amoebozoa (0.26%), Eukaryota:Viridiplantae (0.10%), Bacteria (0.03%), Bacteria:Proteobacteria (0.03%)",RNaseP_nuc,Nuclear RNase P,Gene; ribozyme;
RF00012,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (96.55%)","Eukaryota (99.99%), Eukaryota:Metazoa (95.48%), Eukaryota:Fungi (1.37%), Eukaryota:Viridiplantae (0.59%), Eukaryota:Stramenopiles (0.49%), Eukaryota:Amoebozoa (0.23%), Eukaryota:Alveolata (0.04%), Bacteria (0.01%)",U3,Small nucleolar RNA U3,Gene; snRNA; snoRNA; CD-box;
RF00015,Eukaryota,"Eukaryota (98.87%), Eukaryota:Fungi (39.55%), Eukaryota:Metazoa (38.42%), Eukaryota:Alveolata (10.17%), Eukaryota:Viridiplantae (7.34%), Eukaryota:Amoebozoa (1.69%), unclassified sequences (0.56%), Other (0.56%)","Eukaryota (100.00%), Eukaryota:Metazoa (82.70%), Eukaryota:Viridiplantae (10.30%), Eukaryota:Fungi (5.61%), Eukaryota:Alveolata (0.97%), Eukaryota:Stramenopiles (0.09%), Eukaryota:Amoebozoa (0.06%)",U4,U4 spliceosomal RNA,Gene; snRNA; splicing;
RF00016,Eukaryota,"Eukaryota (100.00%), Eukaryota:Viridiplantae (50.00%), Eukaryota:Metazoa (38.89%), Eukaryota:Fungi (11.11%)","Eukaryota (100.00%), Eukaryota:Metazoa (51.48%), Eukaryota:Viridiplantae (47.40%), Eukaryota:Fungi (1.12%)",SNORD14,Small nucleolar RNA SNORD14,Gene; snRNA; snoRNA; CD-box;
RF00017,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (95.60%), Eukaryota:Fungi (3.30%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.83%), Eukaryota:Alveolata (0.07%), Eukaryota:Fungi (0.05%), Eukaryota:Viridiplantae (0.02%), Eukaryota:Stramenopiles (0.01%)",Metazoa_SRP,Metazoan signal recognition particle RNA,Gene;
RF00019,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.99%), Eukaryota:Viridiplantae (0.01%)",Y_RNA,Y RNA,Gene;
RF00020,Eukaryota,"Eukaryota (99.44%), Eukaryota:Metazoa (38.89%), Eukaryota:Fungi (35.56%), Eukaryota:Alveolata (10.00%), Eukaryota:Viridiplantae (8.89%), Eukaryota:Amoebozoa (3.33%), unclassified sequences (0.56%)","Eukaryota (100.00%), Eukaryota:Metazoa (67.37%), Eukaryota:Viridiplantae (25.40%), Eukaryota:Fungi (5.38%), Eukaryota:Alveolata (1.16%), Eukaryota:Stramenopiles (0.12%), Eukaryota:Amoebozoa (0.08%)",U5,U5 spliceosomal RNA,Gene; snRNA; splicing;
RF00024,Eukaryota+Metazoa,"Eukaryota (97.30%), Eukaryota:Metazoa (97.30%), Viruses (2.70%), Viruses:Herpesviridae (2.70%)","Eukaryota (99.24%), Eukaryota:Metazoa (99.24%), Viruses (0.76%), Viruses:Herpesviridae (0.76%)",Telomerase-vert,Vertebrate telomerase RNA,Gene;
RF00026,Eukaryota,"Eukaryota (99.47%), Eukaryota:Metazoa (38.83%), Eukaryota:Fungi (29.26%), Eukaryota:Viridiplantae (11.17%), Eukaryota:Alveolata (8.51%), Eukaryota:Amoebozoa (3.19%), unclassified sequences (0.53%)","Eukaryota (100.00%), Eukaryota:Metazoa (79.98%), Eukaryota:Viridiplantae (16.83%), Eukaryota:Fungi (1.61%), Eukaryota:Alveolata (1.37%), Eukaryota:Stramenopiles (0.02%), Eukaryota:Amoebozoa (0.01%)",U6,U6 spliceosomal RNA,Gene; snRNA; splicing;
RF00027,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",let-7,let-7 microRNA precursor family,Gene; miRNA;
RF00030,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (59.09%), Eukaryota:Fungi (28.79%), Eukaryota:Viridiplantae (3.03%), Eukaryota:Alveolata (3.03%)","Eukaryota (100.00%), Eukaryota:Fungi (33.94%), Eukaryota:Metazoa (33.51%), Eukaryota:Viridiplantae (17.25%), Eukaryota:Alveolata (12.88%), Eukaryota:Stramenopiles (0.43%), Eukaryota:Amoebozoa (0.37%)",RNase_MRP,RNase MRP,Gene; ribozyme;
RF00031,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (99.95%), Eukaryota:Metazoa (99.29%), Eukaryota:Alveolata (0.34%), Eukaryota:Viridiplantae (0.24%), Bacteria (0.05%)",SECIS_1,Selenocysteine insertion sequence 1,Cis-reg;
RF00032,Eukaryota/Eukaryota+Metazoa,"Eukaryota (96.00%), Eukaryota:Metazoa (64.00%), Eukaryota:Alveolata (22.00%), Other (4.00%), Eukaryota:Viridiplantae (2.00%), Eukaryota:Amoebozoa (2.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.87%), Eukaryota:Viridiplantae (0.05%), Eukaryota:Fungi (0.03%), Eukaryota:Amoebozoa (0.02%)",Histone3,Histone 3' UTR stem-loop,Cis-reg;
RF00037,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.96%), Eukaryota:Viridiplantae (0.03%), Eukaryota:Stramenopiles (0.01%)",IRE_I,Iron response element I,Cis-reg;
RF00045,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA73,Small nucleolar RNA SNORA73 family,Gene; snRNA; snoRNA; HACA-box;
