Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF01689,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (97.70%), Bacteria:Actinobacteria (20.11%), Bacteria:Cyanobacteria (7.47%), Bacteria:Firmicutes (5.75%), Bacteria:Proteobacteria (2.87%), Bacteria:Bacteroidetes (2.87%), Eukaryota (2.30%), Eukaryota:Metazoa (1.72%), Eukaryota:Viridiplantae (0.57%)",AdoCbl-II,AdoCbl-II (Cobalamin/B12) riboswitch aptamer,Cis-reg; riboswitch;
RF01706,unclassified sequences/Mixed,unclassified sequences (100.00%),"Bacteria (82.35%), Bacteria:Firmicutes (74.51%), Eukaryota (17.65%), Eukaryota:Metazoa (17.65%)",Gut-1,Gut-1 RNA,Gene; sRNA;
RF01712,unclassified sequences/Bacteria+Proteobacteria,"unclassified sequences (97.06%), Bacteria (2.94%), Bacteria:Proteobacteria (2.94%)","Bacteria (100.00%), Bacteria:Proteobacteria (91.67%)",Methylobacterium-1,Methylobacterium-1 RNA,Gene; sRNA;
RF01714,unclassified sequences/Archaea,unclassified sequences (100.00%),Archaea (100.00%),Ocean-V,Ocean-V RNA,Gene; sRNA;
RF01717,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),PhotoRC-II,PhotoRC-II RNA,Cis-reg;
RF01718,unclassified sequences/Bacteria,"unclassified sequences (93.75%), Bacteria (6.25%), Bacteria:Proteobacteria (6.25%)","Bacteria (100.00%), Bacteria:Proteobacteria (83.33%)",Polynucleobacter-1,Polynucleobacter-1 RNA,Gene; sRNA;
RF01725,unclassified sequences/Bacteria,"unclassified sequences (91.61%), Bacteria (7.91%), Bacteria:Proteobacteria (6.24%), Bacteria:Bacteroidetes (1.20%), Other (0.48%)","Bacteria (98.94%), Bacteria:Proteobacteria (33.16%), Bacteria:Bacteroidetes (18.52%), Eukaryota (1.06%), Bacteria:Firmicutes (0.35%), Bacteria:Actinobacteria (0.35%), Eukaryota:Metazoa (0.35%), Eukaryota:Alveolata (0.35%), Eukaryota:Viridiplantae (0.18%), Eukaryota:Stramenopiles (0.18%)",SAM-I-IV,SAM-I/IV (S-adenosyl methionine) riboswitch aptamer,Cis-reg; riboswitch;
RF01729,unclassified sequences/Mixed,unclassified sequences (100.00%),"Bacteria (75.00%), Eukaryota (25.00%), Eukaryota:Metazoa (25.00%)",Termite-flg,Termite-flg RNA,Cis-reg;
RF01730,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,Termite-leu,Termite-leu RNA,Cis-reg;
RF01739,unclassified sequences/Bacteria,"unclassified sequences (96.70%), Bacteria (3.19%), Bacteria:Cyanobacteria (3.19%), Viruses (0.11%)","Bacteria (96.90%), Bacteria:Cyanobacteria (40.69%), Viruses (1.72%), Eukaryota (1.38%), Bacteria:Proteobacteria (1.38%), Eukaryota:Metazoa (1.38%)",Glutamine,Glutamine riboswitch aptamer (glnA leader),Cis-reg; riboswitch;
RF01745,unclassified sequences/Viruses,"unclassified sequences (98.79%), Bacteria (1.21%), Bacteria:Proteobacteria (1.21%)","Viruses (95.00%), Bacteria (5.00%)",manA,manA RNA,Cis-reg;
RF01751,unclassified sequences/Eukaryota,unclassified sequences (100.00%),"Eukaryota (100.00%), Eukaryota:Viridiplantae (50.00%), Eukaryota:Metazoa (50.00%)",potC,potC RNA,Cis-reg;
RF01761,unclassified sequences/Mixed,"unclassified sequences (98.15%), Viruses (1.85%)","Viruses (58.57%), Eukaryota (41.43%), Eukaryota:Metazoa (40.00%), Eukaryota:Viridiplantae (1.43%)",wcaG,wcaG RNA,Cis-reg;
RF01762,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (94.03%), Bacteria:Proteobacteria (64.18%), Eukaryota (5.97%), Eukaryota:Metazoa (5.97%), Bacteria:Bacteroidetes (0.75%)",whalefall-1,Whalefall-1 RNA,Gene; sRNA;
RF01810,unclassified sequences/Bacteria,"unclassified sequences (90.00%), Bacteria (10.00%), Bacteria:Proteobacteria (10.00%)","Bacteria (100.00%), Bacteria:Proteobacteria (13.33%)",pntA,pntA sRNA,Gene; sRNA;
RF01815,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (97.96%), Bacteria:Proteobacteria (52.24%), Eukaryota (2.04%), Eukaryota:Alveolata (1.22%), Eukaryota:Metazoa (0.41%)",rpsB,rpsB sRNA,Gene; sRNA;
