Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.55%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.20%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00002,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (22.95%), Eukaryota:Alveolata (18.03%), Eukaryota:Metazoa (14.75%), Eukaryota:Viridiplantae (13.11%), Eukaryota:Amoebozoa (4.92%)","Eukaryota (99.74%), Eukaryota:Metazoa (47.35%), Eukaryota:Viridiplantae (41.46%), Eukaryota:Fungi (5.95%), Eukaryota:Alveolata (2.38%), Eukaryota:Stramenopiles (0.39%), Bacteria (0.25%), Eukaryota:Amoebozoa (0.04%), Bacteria:Firmicutes (0.03%), Bacteria:Proteobacteria (0.02%), Viruses (0.01%), Bacteria:Actinobacteria (0.01%), Bacteria:Bacteroidetes (0.01%), Bacteria:Cyanobacteria (0.01%)",5_8S_rRNA,5.8S ribosomal RNA,Gene; rRNA;
RF00003,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (67.00%), Eukaryota:Viridiplantae (26.00%), Eukaryota:Alveolata (4.00%), Eukaryota:Amoebozoa (2.00%), Eukaryota:Fungi (1.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (77.92%), Eukaryota:Viridiplantae (20.53%), Eukaryota:Fungi (0.59%), Eukaryota:Alveolata (0.56%), Eukaryota:Amoebozoa (0.05%), Eukaryota:Stramenopiles (0.05%)",U1,U1 spliceosomal RNA,Gene; snRNA; splicing;
RF00004,Eukaryota,"Eukaryota (99.04%), Eukaryota:Metazoa (36.06%), Eukaryota:Fungi (33.17%), Eukaryota:Viridiplantae (9.62%), Eukaryota:Alveolata (9.62%), Eukaryota:Amoebozoa (2.40%), unclassified sequences (0.96%)","Eukaryota (100.00%), Eukaryota:Metazoa (69.52%), Eukaryota:Viridiplantae (23.24%), Eukaryota:Fungi (5.50%), Eukaryota:Alveolata (0.72%), Eukaryota:Stramenopiles (0.16%), Eukaryota:Amoebozoa (0.10%)",U2,U2 spliceosomal RNA,Gene; snRNA; splicing;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.24%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.44%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00007,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (82.26%), Eukaryota:Viridiplantae (11.29%), Eukaryota:Amoebozoa (1.61%)","Eukaryota (100.00%), Eukaryota:Metazoa (79.30%), Eukaryota:Viridiplantae (17.85%), Eukaryota:Fungi (1.04%), Eukaryota:Stramenopiles (0.43%), Eukaryota:Amoebozoa (0.09%)",U12,U12 minor spliceosomal RNA,Gene; snRNA; splicing;
RF00008,Mixed/Eukaryota+Viridiplantae,"Viroids (88.24%), Viruses (8.24%), Other (3.53%)","Eukaryota (99.73%), Eukaryota:Viridiplantae (99.20%), Bacteria (0.27%), Eukaryota:Metazoa (0.27%), Bacteria:Proteobacteria (0.13%), Eukaryota:Alveolata (0.13%)",Hammerhead_3,Hammerhead ribozyme (type III),Gene; ribozyme;
RF00015,Eukaryota,"Eukaryota (98.87%), Eukaryota:Fungi (39.55%), Eukaryota:Metazoa (38.42%), Eukaryota:Alveolata (10.17%), Eukaryota:Viridiplantae (7.34%), Eukaryota:Amoebozoa (1.69%), unclassified sequences (0.56%), Other (0.56%)","Eukaryota (100.00%), Eukaryota:Metazoa (82.70%), Eukaryota:Viridiplantae (10.30%), Eukaryota:Fungi (5.61%), Eukaryota:Alveolata (0.97%), Eukaryota:Stramenopiles (0.09%), Eukaryota:Amoebozoa (0.06%)",U4,U4 spliceosomal RNA,Gene; snRNA; splicing;
RF00016,Eukaryota,"Eukaryota (100.00%), Eukaryota:Viridiplantae (50.00%), Eukaryota:Metazoa (38.89%), Eukaryota:Fungi (11.11%)","Eukaryota (100.00%), Eukaryota:Metazoa (51.48%), Eukaryota:Viridiplantae (47.40%), Eukaryota:Fungi (1.12%)",SNORD14,Small nucleolar RNA SNORD14,Gene; snRNA; snoRNA; CD-box;
RF00020,Eukaryota,"Eukaryota (99.44%), Eukaryota:Metazoa (38.89%), Eukaryota:Fungi (35.56%), Eukaryota:Alveolata (10.00%), Eukaryota:Viridiplantae (8.89%), Eukaryota:Amoebozoa (3.33%), unclassified sequences (0.56%)","Eukaryota (100.00%), Eukaryota:Metazoa (67.37%), Eukaryota:Viridiplantae (25.40%), Eukaryota:Fungi (5.38%), Eukaryota:Alveolata (1.16%), Eukaryota:Stramenopiles (0.12%), Eukaryota:Amoebozoa (0.08%)",U5,U5 spliceosomal RNA,Gene; snRNA; splicing;
RF00026,Eukaryota,"Eukaryota (99.47%), Eukaryota:Metazoa (38.83%), Eukaryota:Fungi (29.26%), Eukaryota:Viridiplantae (11.17%), Eukaryota:Alveolata (8.51%), Eukaryota:Amoebozoa (3.19%), unclassified sequences (0.53%)","Eukaryota (100.00%), Eukaryota:Metazoa (79.98%), Eukaryota:Viridiplantae (16.83%), Eukaryota:Fungi (1.61%), Eukaryota:Alveolata (1.37%), Eukaryota:Stramenopiles (0.02%), Eukaryota:Amoebozoa (0.01%)",U6,U6 spliceosomal RNA,Gene; snRNA; splicing;
RF00028,Eukaryota/Mixed,"Eukaryota (91.67%), Eukaryota:Viridiplantae (66.67%), Eukaryota:Alveolata (16.67%), Viruses (8.33%), Eukaryota:Fungi (8.33%)","Eukaryota (79.78%), Eukaryota:Viridiplantae (37.61%), Eukaryota:Fungi (36.13%), Bacteria (14.60%), Viruses (5.55%), Bacteria:Firmicutes (4.59%), Bacteria:Cyanobacteria (1.95%), Eukaryota:Metazoa (1.64%), Bacteria:Proteobacteria (1.20%), Bacteria:Bacteroidetes (0.23%), Bacteria:Actinobacteria (0.12%), Archaea (0.07%), Archaea:Euryarchaeota (0.04%), Eukaryota:Amoebozoa (0.02%), Eukaryota:Alveolata (0.02%)",Intron_gpI,Group I catalytic intron,Intron;
RF00029,Mixed,"Eukaryota (83.70%), Eukaryota:Viridiplantae (60.87%), Bacteria (16.30%), Eukaryota:Fungi (14.13%), Bacteria:Proteobacteria (7.61%), Bacteria:Firmicutes (6.52%), Bacteria:Cyanobacteria (2.17%)","Eukaryota (78.33%), Eukaryota:Viridiplantae (76.33%), Bacteria (21.47%), Bacteria:Firmicutes (4.38%), Bacteria:Proteobacteria (3.01%), Bacteria:Cyanobacteria (1.67%), Eukaryota:Fungi (1.48%), Bacteria:Actinobacteria (1.30%), Bacteria:Bacteroidetes (0.77%), Eukaryota:Metazoa (0.48%), Archaea (0.17%), Archaea:Euryarchaeota (0.16%), Viruses (0.02%), Other (0.01%), Eukaryota:Alveolata (0.01%)",Intron_gpII,Group II catalytic intron,Intron;
RF00030,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (59.09%), Eukaryota:Fungi (28.79%), Eukaryota:Viridiplantae (3.03%), Eukaryota:Alveolata (3.03%)","Eukaryota (100.00%), Eukaryota:Fungi (33.94%), Eukaryota:Metazoa (33.51%), Eukaryota:Viridiplantae (17.25%), Eukaryota:Alveolata (12.88%), Eukaryota:Stramenopiles (0.43%), Eukaryota:Amoebozoa (0.37%)",RNase_MRP,RNase MRP,Gene; ribozyme;
RF00046,Eukaryota+Viridiplantae,"Eukaryota (100.00%), Eukaryota:Viridiplantae (100.00%)","Eukaryota (100.00%), Eukaryota:Viridiplantae (100.00%)",snoR30,Small nucleolar RNA R30/Z108,Gene; snRNA; snoRNA; CD-box;
RF00049,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (83.05%), Eukaryota:Viridiplantae (15.25%), Eukaryota:Alveolata (1.69%)","Eukaryota (99.87%), Eukaryota:Metazoa (68.54%), Eukaryota:Viridiplantae (27.26%), Eukaryota:Fungi (1.14%), Eukaryota:Alveolata (1.11%), Eukaryota:Stramenopiles (0.51%), Bacteria (0.13%), Eukaryota:Amoebozoa (0.10%), Bacteria:Firmicutes (0.03%)",SNORD36,Small nucleolar RNA SNORD36,Gene; snRNA; snoRNA; CD-box;
RF00054,Eukaryota/Eukaryota+Viridiplantae,"Eukaryota (100.00%), Eukaryota:Viridiplantae (75.00%), Eukaryota:Metazoa (25.00%)","Eukaryota (100.00%), Eukaryota:Viridiplantae (98.17%), Eukaryota:Metazoa (1.83%)",SNORD25,Small nucleolar RNA SNORD25,Gene; snRNA; snoRNA; CD-box;
RF00055,Eukaryota,"Eukaryota (100.00%), Eukaryota:Viridiplantae (55.56%), Eukaryota:Metazoa (33.33%), Eukaryota:Alveolata (11.11%)","Eukaryota (100.00%), Eukaryota:Viridiplantae (88.07%), Eukaryota:Metazoa (11.85%), Eukaryota:Alveolata (0.08%)",SNORD96,Small nucleolar RNA SNORD96 family,Gene; snRNA; snoRNA; CD-box;
