Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00001,Mixed/Eukaryota,"Bacteria (48.60%), Eukaryota (45.51%), Bacteria:Proteobacteria (23.46%), Eukaryota:Viridiplantae (13.48%), Eukaryota:Fungi (12.78%), Eukaryota:Metazoa (11.66%), Bacteria:Actinobacteria (11.10%), Bacteria:Firmicutes (7.44%), Archaea (5.90%), Archaea:Euryarchaeota (5.06%), Eukaryota:Alveolata (1.69%), Archaea:Crenarchaeota (0.84%), Bacteria:Bacteroidetes (0.84%), Bacteria:Cyanobacteria (0.70%), Eukaryota:Amoebozoa (0.70%)","Eukaryota (95.39%), Eukaryota:Metazoa (63.93%), Eukaryota:Viridiplantae (25.82%), Eukaryota:Fungi (4.90%), Bacteria (4.52%), Bacteria:Proteobacteria (0.87%), Bacteria:Firmicutes (0.82%), Bacteria:Actinobacteria (0.56%), Eukaryota:Alveolata (0.24%), Bacteria:Bacteroidetes (0.21%), Archaea (0.09%), Eukaryota:Stramenopiles (0.08%), Archaea:Euryarchaeota (0.07%), Bacteria:Cyanobacteria (0.04%), Eukaryota:Amoebozoa (0.04%), Archaea:Crenarchaeota (0.01%)",5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00005,Mixed/Eukaryota,"Eukaryota (78.20%), Eukaryota:Metazoa (36.37%), Eukaryota:Viridiplantae (18.87%), Bacteria (17.30%), Eukaryota:Fungi (14.57%), Bacteria:Firmicutes (4.61%), Bacteria:Proteobacteria (4.30%), Archaea (3.46%), Archaea:Euryarchaeota (2.73%), Eukaryota:Amoebozoa (1.78%), Eukaryota:Alveolata (1.68%), Viruses (1.05%), Bacteria:Actinobacteria (0.94%), Archaea:Crenarchaeota (0.73%), Bacteria:Cyanobacteria (0.21%), Viruses:Retroviridae (0.10%)","Eukaryota (90.40%), Eukaryota:Metazoa (79.57%), Bacteria (9.16%), Eukaryota:Viridiplantae (5.68%), Eukaryota:Fungi (3.48%), Bacteria:Proteobacteria (1.92%), Bacteria:Firmicutes (1.25%), Bacteria:Actinobacteria (1.15%), Eukaryota:Alveolata (0.98%), Bacteria:Bacteroidetes (0.45%), Archaea (0.25%), Viruses (0.19%), Archaea:Euryarchaeota (0.18%), Bacteria:Cyanobacteria (0.10%), Eukaryota:Stramenopiles (0.10%), Eukaryota:Amoebozoa (0.05%), Archaea:Crenarchaeota (0.03%), Archaea:Thaumarchaeota (0.01%)",tRNA,tRNA,Gene; tRNA;
RF00010,Bacteria,"Bacteria (99.78%), Bacteria:Proteobacteria (60.70%), Bacteria:Actinobacteria (11.35%), Bacteria:Firmicutes (8.73%), Bacteria:Cyanobacteria (8.52%), Eukaryota (0.22%), Bacteria:Bacteroidetes (0.22%)","Bacteria (98.79%), Bacteria:Proteobacteria (23.13%), Bacteria:Actinobacteria (13.59%), Bacteria:Firmicutes (7.18%), Bacteria:Bacteroidetes (6.05%), Bacteria:Cyanobacteria (1.27%), Eukaryota (1.18%), Eukaryota:Metazoa (0.70%), Eukaryota:Viridiplantae (0.16%), Eukaryota:Alveolata (0.16%), Eukaryota:Fungi (0.08%), Viruses (0.02%), Other (0.01%), Eukaryota:Stramenopiles (0.01%)",RNaseP_bact_a,Bacterial RNase P class A,Gene; ribozyme;
RF00023,Bacteria,"Bacteria (93.92%), Bacteria:Proteobacteria (44.03%), Bacteria:Firmicutes (20.75%), Bacteria:Actinobacteria (8.18%), unclassified sequences (3.77%), Bacteria:Cyanobacteria (2.94%), Eukaryota (2.10%), Bacteria:Bacteroidetes (1.26%), Eukaryota:Viridiplantae (1.05%), Eukaryota:Metazoa (0.42%), Viruses (0.21%), Eukaryota:Fungi (0.21%)","Bacteria (97.92%), Bacteria:Proteobacteria (15.21%), Bacteria:Actinobacteria (14.35%), Bacteria:Firmicutes (14.06%), Bacteria:Bacteroidetes (6.45%), Eukaryota (1.40%), Bacteria:Cyanobacteria (1.06%), Eukaryota:Metazoa (0.68%), Viruses (0.67%), Eukaryota:Fungi (0.27%), Eukaryota:Viridiplantae (0.21%), Eukaryota:Alveolata (0.13%), Other (0.01%)",tmRNA,transfer-messenger RNA,Gene;
RF00050,Bacteria,"Bacteria (97.26%), Bacteria:Firmicutes (53.42%), Bacteria:Proteobacteria (35.62%), unclassified sequences (2.05%), Other (0.68%), Bacteria:Actinobacteria (0.68%)","Bacteria (99.24%), Bacteria:Firmicutes (27.21%), Bacteria:Actinobacteria (15.64%), Bacteria:Proteobacteria (13.58%), Eukaryota (0.64%), Bacteria:Bacteroidetes (0.56%), Eukaryota:Metazoa (0.32%), Eukaryota:Viridiplantae (0.14%), Archaea (0.11%), Archaea:Euryarchaeota (0.11%), Eukaryota:Fungi (0.11%), Eukaryota:Alveolata (0.06%), Viruses (0.02%)",FMN,FMN riboswitch aptamer (RFN element),Cis-reg; riboswitch;
RF00059,Mixed/Bacteria,"Bacteria (85.22%), Bacteria:Firmicutes (40.00%), Bacteria:Proteobacteria (29.57%), Bacteria:Actinobacteria (10.43%), Eukaryota (9.57%), Eukaryota:Viridiplantae (6.09%), Eukaryota:Fungi (3.48%), Other (2.61%), Bacteria:Cyanobacteria (2.61%), Archaea (1.74%), Archaea:Euryarchaeota (1.74%), unclassified sequences (0.87%)","Bacteria (94.78%), Bacteria:Proteobacteria (18.83%), Bacteria:Firmicutes (18.45%), Bacteria:Actinobacteria (12.62%), Eukaryota (5.06%), Bacteria:Bacteroidetes (3.42%), Eukaryota:Viridiplantae (2.32%), Eukaryota:Fungi (1.47%), Bacteria:Cyanobacteria (0.69%), Eukaryota:Metazoa (0.48%), Eukaryota:Stramenopiles (0.24%), Eukaryota:Alveolata (0.20%), Archaea (0.14%), Archaea:Euryarchaeota (0.11%), Viruses (0.01%), Other (0.01%), Archaea:Thaumarchaeota (0.01%)",TPP,TPP riboswitch aptamer (THI element),Cis-reg; riboswitch;
RF00162,Bacteria,"Bacteria (97.59%), Bacteria:Firmicutes (71.77%), Bacteria:Actinobacteria (7.22%), Bacteria:Bacteroidetes (5.47%), Bacteria:Proteobacteria (3.28%), unclassified sequences (1.31%), Other (1.09%), Bacteria:Cyanobacteria (0.44%)","Bacteria (99.62%), Bacteria:Firmicutes (37.17%), Bacteria:Actinobacteria (9.87%), Bacteria:Bacteroidetes (7.63%), Bacteria:Proteobacteria (1.54%), Eukaryota (0.36%), Eukaryota:Metazoa (0.22%), Eukaryota:Fungi (0.05%), Bacteria:Cyanobacteria (0.03%), Eukaryota:Viridiplantae (0.03%), Eukaryota:Alveolata (0.03%), Other (0.02%)",SAM,SAM riboswitch aptamer (S box leader),Cis-reg; riboswitch;
RF00169,Bacteria,"Bacteria (100.00%), Bacteria:Proteobacteria (48.28%), Bacteria:Firmicutes (16.86%), Bacteria:Actinobacteria (14.94%), Bacteria:Cyanobacteria (6.90%)","Bacteria (98.87%), Bacteria:Proteobacteria (28.09%), Bacteria:Actinobacteria (16.64%), Bacteria:Firmicutes (5.20%), Bacteria:Cyanobacteria (1.58%), Eukaryota (1.09%), Eukaryota:Metazoa (0.62%), Eukaryota:Viridiplantae (0.19%), Bacteria:Bacteroidetes (0.14%), Eukaryota:Alveolata (0.14%), Eukaryota:Fungi (0.09%), Viruses (0.03%), Archaea (0.01%), Archaea:Euryarchaeota (0.01%)",Bacteria_small_SRP,Bacterial small signal recognition particle RNA,Gene;
RF00174,Bacteria,"Bacteria (99.54%), Bacteria:Proteobacteria (70.74%), Bacteria:Firmicutes (12.44%), Bacteria:Actinobacteria (7.60%), Bacteria:Bacteroidetes (6.68%), unclassified sequences (0.23%), Other (0.23%), Bacteria:Cyanobacteria (0.23%)","Bacteria (99.32%), Bacteria:Proteobacteria (20.10%), Bacteria:Actinobacteria (14.45%), Bacteria:Firmicutes (13.41%), Bacteria:Bacteroidetes (5.66%), Bacteria:Cyanobacteria (0.95%), Eukaryota (0.68%), Eukaryota:Metazoa (0.39%), Eukaryota:Viridiplantae (0.12%), Eukaryota:Alveolata (0.10%), Eukaryota:Fungi (0.04%)",Cobalamin,Cobalamin riboswitch aptamer,Cis-reg; riboswitch;
RF00177,Bacteria/Mixed,"Bacteria (100.00%), Bacteria:Proteobacteria (12.12%), Bacteria:Firmicutes (8.08%), Bacteria:Bacteroidetes (4.04%), Bacteria:Actinobacteria (2.02%), Bacteria:Cyanobacteria (1.01%)","Bacteria (58.18%), Eukaryota (41.78%), Eukaryota:Viridiplantae (29.69%), Bacteria:Firmicutes (11.60%), Bacteria:Proteobacteria (11.09%), Eukaryota:Metazoa (8.14%), Bacteria:Actinobacteria (6.79%), Eukaryota:Fungi (2.58%), Bacteria:Bacteroidetes (2.53%), Bacteria:Cyanobacteria (0.60%), Eukaryota:Stramenopiles (0.54%), Eukaryota:Alveolata (0.26%), Archaea (0.02%), Viruses (0.01%), Archaea:Euryarchaeota (0.01%), Eukaryota:Amoebozoa (0.01%)",SSU_rRNA_bacteria,Bacterial small subunit ribosomal RNA,Gene; rRNA;
