Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00363,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART1,mir-BART1 microRNA precursor family,Gene; miRNA;
RF00364,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART2,mir-BART2 microRNA precursor family,Gene; miRNA;
RF00365,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BHRF1-1,mir-BHRF1-1 microRNA precursor family,Gene; miRNA;
RF00366,Viruses+Herpesviridae/Mixed,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (85.71%), Viruses:Herpesviridae (85.71%), Eukaryota (14.29%), Eukaryota:Metazoa (14.29%)",mir-BHRF1-2,mir-BHRF1-2 microRNA precursor family,Gene; miRNA;
RF00367,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BHRF1-3,mir-BHRF1-3 microRNA precursor family,Gene; miRNA;
RF00448,Viruses+Herpesviridae/Mixed,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (85.71%), Viruses:Herpesviridae (85.71%), Eukaryota (14.29%), Eukaryota:Metazoa (14.29%)",IRES_EBNA,Epstein-Barr virus nuclear antigen (EBNA) IRES,Cis-reg; IRES;
RF00511,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",IRES_KSHV,Kaposi's sarcoma-associated herpesvirus internal ribosome entry site,Cis-reg; IRES;
RF00863,Viruses+Herpesviridae/Mixed,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (83.33%), Viruses:Herpesviridae (83.33%), Eukaryota (16.67%), Eukaryota:Metazoa (16.67%)",mir-BART17,mir-BART17 microRNA precursor family,Gene; miRNA;
RF00864,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART20,mir-BART20 microRNA precursor family,Gene; miRNA;
RF00866,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (90.91%), Viruses:Herpesviridae (90.91%), Eukaryota (9.09%), Eukaryota:Metazoa (9.09%)",mir-BART3,mir-BART3 microRNA precursor family,Gene; miRNA;
RF00867,Viruses+Herpesviridae/Mixed,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (85.71%), Viruses:Herpesviridae (85.71%), Eukaryota (14.29%), Eukaryota:Metazoa (14.29%)",mir-BART5,mir-BART5 microRNA precursor family,Gene; miRNA;
RF00868,Viruses+Herpesviridae/Mixed,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (85.71%), Viruses:Herpesviridae (85.71%), Eukaryota (14.29%), Eukaryota:Metazoa (14.29%)",mir-BART15,mir-BART15 microRNA precursor family,Gene; miRNA;
RF00869,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART7,mir-BART7 microRNA precursor family,Gene; miRNA;
RF00874,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART12,mir-BART12 microRNA precursor family,Gene; miRNA;
RF01009,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-M7,mir-M7 microRNA precursor family,Gene; miRNA;
RF01516,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",v-snoRNA-1,Human herpesvirus 1 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF01789,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",EBER1,Epstein-Barr virus EBER1,Gene; sRNA;
RF01802,Viruses+Herpesviridae/Mixed,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (80.00%), Viruses:Herpesviridae (80.00%), Eukaryota (20.00%), Eukaryota:Metazoa (20.00%)",HSUR,Herpesvirus saimiri U RNA1/RNA2,Gene; snRNA;
RF01940,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",hvt-mir-H,hvt-mir-H9 microRNA precursor family,Gene; miRNA;
RF02595,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (94.59%), Viruses:Herpesviridae (94.59%), Eukaryota (5.41%), Eukaryota:Metazoa (5.41%)",EBv-sisRNA-1,Epstein-Barr virus stable intronic sequence RNA 1,Gene;
RF02598,Viruses+Herpesviridae/Mixed,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Eukaryota (51.74%), Eukaryota:Metazoa (48.26%), Viruses (45.35%), Viruses:Herpesviridae (45.35%), Bacteria (2.91%), Eukaryota:Viridiplantae (1.74%), Eukaryota:Alveolata (1.74%), Bacteria:Proteobacteria (0.58%), Bacteria:Actinobacteria (0.58%)",EBv-sisRNA-2,Epstein-Barr virus stable intronic sequence RNA 2,Gene;
RF02712,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",EBER2,Epstein-Barr virus EBER2,Gene; sRNA;
RF03200,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART13,mir-BART13 microRNA precursor family,Gene; miRNA;
RF03216,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART10,mir-BART10 microRNA precursor family,Gene; miRNA;
RF03233,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",hvt-mir-H16,hvt-mir-H16 microRNA precursor family,Gene; miRNA;
RF03294,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-H3,mir-H3 microRNA precursor family,Gene; miRNA;
RF03484,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-K12-10,mir-K12-10 microRNA precursor family,Gene; miRNA;
RF03563,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-BART16,mir-BART16 microRNA precursor family,Gene; miRNA;
RF03575,Viruses+Herpesviridae,"Viruses (100.00%), Viruses:Herpesviridae (100.00%)","Viruses (100.00%), Viruses:Herpesviridae (100.00%)",mir-rL1-14,mir-rL1-14 microRNA precursor family,Gene; miRNA;
